股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
谷歌-A,GOOGL,2023-01-03,89.185,88.72,90.65,88.12,28131224,2512677776.0,2.88,1.01,0.89,0.47
谷歌-A,GOOGL,2023-01-04,89.95,87.68,90.25,86.871,34854776,3074915376.0,3.81,-1.17,-1.04,0.58
谷歌-A,GOOGL,2023-01-05,87.07,85.8,87.17,85.5,27194375,2353617584.0,1.9,-2.14,-1.88,0.46
谷歌-A,GOOGL,2023-01-06,86.39,86.94,87.29,84.46,41381495,3578089296.0,3.3,1.33,1.14,0.69
谷歌-A,GOOGL,2023-01-09,87.96,87.62,89.65,87.46,29003901,2580357536.0,2.52,0.78,0.68,0.49
谷歌-A,GOOGL,2023-01-10,85.58,88.02,88.27,85.43,30467755,2674820864.0,3.24,0.46,0.4,0.51
谷歌-A,GOOGL,2023-01-11,88.78,91.12,91.2,88.61,26861969,2435821680.0,2.94,3.52,3.1,0.45
谷歌-A,GOOGL,2023-01-12,91.08,90.73,91.47,89.35,30258135,2757828576.0,2.33,-0.43,-0.39,0.51
谷歌-A,GOOGL,2023-01-13,90.45,91.72,91.79,89.73,26329212,2406192608.0,2.27,1.09,0.99,0.44
谷歌-A,GOOGL,2023-01-17,91.66,90.89,91.85,89.65,32602423,2973429024.0,2.4,-0.9,-0.83,0.55
谷歌-A,GOOGL,2023-01-18,91.74,90.72,92.4,90.24,29116691,2663628704.0,2.38,-0.19,-0.17,0.49
谷歌-A,GOOGL,2023-01-19,90.32,92.65,93.205,90.23,37000395,3427463888.0,3.28,2.13,1.93,0.62
谷歌-A,GOOGL,2023-01-20,94.7,97.62,97.9,94.62,63191078,6135916544.0,3.54,5.36,4.97,1.06
谷歌-A,GOOGL,2023-01-23,97.55,99.39,99.64,97.1,40005055,3973347296.0,2.6,1.81,1.77,0.67
谷歌-A,GOOGL,2023-01-24,97.7,97.3,99.21,96.8,33078512,3231770624.0,2.42,-2.1,-2.09,0.55
谷歌-A,GOOGL,2023-01-25,95.17,94.82,95.762,93.36,42329952,4010183184.0,2.47,-2.55,-2.48,0.71
谷歌-A,GOOGL,2023-01-26,96.1,97.12,97.17,94.98,30113974,2916281936.0,2.31,2.43,2.3,0.51
谷歌-A,GOOGL,2023-01-27,96.91,98.97,99.92,96.91,33879753,3363406672.0,3.1,1.9,1.85,0.57
谷歌-A,GOOGL,2023-01-30,97.08,96.54,97.89,95.995,27226198,2646844000.0,1.91,-2.46,-2.43,0.46
谷歌-A,GOOGL,2023-01-31,96.47,98.44,98.48,96.42,29870669,2931284944.0,2.13,1.97,1.9,0.5
谷歌-A,GOOGL,2023-02-01,98.31,100.03,100.79,97.18,35531104,3525015344.0,3.67,1.62,1.59,0.6
谷歌-A,GOOGL,2023-02-02,105.4,107.34,107.45,105.21,69883762,7468082176.0,2.24,7.31,7.31,1.17
谷歌-A,GOOGL,2023-02-03,102.53,104.38,107.41,102.18,65309261,6879347456.0,4.87,-2.76,-2.96,1.1
谷歌-A,GOOGL,2023-02-06,102.0,102.5,103.96,101.48,31999562,3296013024.0,2.38,-1.8,-1.88,0.54
谷歌-A,GOOGL,2023-02-07,102.82,107.24,107.78,102.72,49010230,5178963200.0,4.94,4.62,4.74,0.82
谷歌-A,GOOGL,2023-02-08,101.65,98.97,102.74,97.635,94743515,9453510400.0,4.76,-7.71,-8.27,1.59
谷歌-A,GOOGL,2023-02-09,99.6,94.61,99.63,93.23,119455020,11369849344.0,6.47,-4.41,-4.36,2.01
谷歌-A,GOOGL,2023-02-10,95.05,94.17,96.35,93.85,54980696,5225310976.0,2.64,-0.47,-0.44,0.92
谷歌-A,GOOGL,2023-02-13,94.34,94.21,94.8,93.44,50076120,4731609600.0,1.44,0.04,0.04,0.84
谷歌-A,GOOGL,2023-02-14,94.03,94.28,94.445,91.86,54726120,5130879488.0,2.74,0.07,0.07,0.92
谷歌-A,GOOGL,2023-02-15,94.09,96.54,96.72,93.75,50298481,4830429440.0,3.15,2.4,2.26,0.84
谷歌-A,GOOGL,2023-02-16,94.97,95.11,97.28,94.34,42462618,4091126272.0,3.05,-1.48,-1.43,0.71
谷歌-A,GOOGL,2023-02-17,94.45,93.95,95.16,92.81,34284118,3225638688.0,2.47,-1.22,-1.16,0.58
谷歌-A,GOOGL,2023-02-21,92.6,91.39,92.7,91.32,33629256,3100479040.0,1.47,-2.72,-2.56,0.56
谷歌-A,GOOGL,2023-02-22,91.3,91.25,91.71,90.21,30884017,2829460352.0,1.64,-0.15,-0.14,0.52
谷歌-A,GOOGL,2023-02-23,91.52,90.49,91.54,89.36,41206380,3736969328.0,2.39,-0.83,-0.76,0.69
谷歌-A,GOOGL,2023-02-24,89.04,88.73,89.49,88.175,36585093,3258612064.0,1.45,-1.94,-1.76,0.61
谷歌-A,GOOGL,2023-02-27,89.47,89.47,89.76,88.935,27502302,2468641712.0,0.93,0.83,0.74,0.46
