股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
微软,MSFT,2023-01-03,238.04,234.54,240.71,232.36,25740036,6173529600.0,3.56,-0.1,-0.24,0.35
微软,MSFT,2023-01-04,227.235,224.06,227.83,220.92,50623394,11564226560.0,2.95,-4.47,-10.48,0.68
微软,MSFT,2023-01-05,222.16,217.27,222.51,216.72,39585623,8849836032.0,2.58,-3.03,-6.79,0.53
微软,MSFT,2023-01-06,217.96,219.89,220.72,214.31,43613574,9741601024.0,2.95,1.21,2.62,0.59
微软,MSFT,2023-01-09,221.41,222.08,226.197,221.37,27369784,6259372032.0,2.2,1.0,2.19,0.37
微软,MSFT,2023-01-10,222.715,223.81,226.27,222.29,27033881,6185478400.0,1.79,0.78,1.73,0.36
微软,MSFT,2023-01-11,226.25,230.73,230.91,226.07,28669331,6711221504.0,2.16,3.09,6.92,0.38
微软,MSFT,2023-01-12,230.22,233.47,234.86,228.52,27269486,6487054336.0,2.75,1.19,2.74,0.37
微软,MSFT,2023-01-13,231.962,234.19,234.33,229.88,21333265,5065510400.0,1.91,0.31,0.72,0.29
微软,MSFT,2023-01-17,232.93,235.31,235.87,232.05,29831257,7149848832.0,1.63,0.48,1.12,0.4
微软,MSFT,2023-01-18,236.525,230.77,237.34,230.48,30028692,7142649088.0,2.92,-1.93,-4.54,0.4
微软,MSFT,2023-01-19,228.74,226.89,230.48,225.64,28623033,6655281152.0,2.1,-1.68,-3.88,0.38
微软,MSFT,2023-01-20,229.815,235.18,235.7,229.47,35389809,8427723520.0,2.75,3.65,8.29,0.48
微软,MSFT,2023-01-23,236.06,237.54,240.125,234.61,31933951,7753340672.0,2.35,1.0,2.36,0.43
微软,MSFT,2023-01-24,237.46,237.0,238.91,235.4,40234444,9738344960.0,1.48,-0.23,-0.54,0.54
微软,MSFT,2023-01-25,229.44,235.57,238.26,225.86,66526641,15804815360.0,5.23,-0.6,-1.43,0.89
微软,MSFT,2023-01-26,238.61,242.96,243.27,236.96,33454491,8210451968.0,2.68,3.14,7.39,0.45
微软,MSFT,2023-01-27,243.95,243.12,244.79,241.79,26498939,6582345984.0,1.23,0.07,0.16,0.36
微软,MSFT,2023-01-30,239.47,237.67,240.56,237.16,25867365,6292044544.0,1.4,-2.24,-5.45,0.35
微软,MSFT,2023-01-31,238.41,242.77,242.91,237.905,26541072,6540889856.0,2.11,2.15,5.1,0.36
微软,MSFT,2023-02-01,242.96,247.71,250.14,240.43,31259912,7825517568.0,4.0,2.03,4.94,0.42
微软,MSFT,2023-02-02,253.78,259.56,259.65,252.21,39940437,10452734976.0,3.0,4.78,11.85,0.54
微软,MSFT,2023-02-03,254.502,253.31,259.16,252.06,29077256,7558285568.0,2.74,-2.41,-6.25,0.39
微软,MSFT,2023-02-06,252.4,251.73,253.26,249.74,22517997,5781685504.0,1.39,-0.62,-1.58,0.3
微软,MSFT,2023-02-07,255.49,262.52,263.735,255.04,50841365,13462984704.0,3.45,4.29,10.79,0.68
微软,MSFT,2023-02-08,268.16,261.69,271.72,261.17,54686049,14788036096.0,4.02,-0.32,-0.83,0.73
微软,MSFT,2023-02-09,268.76,258.58,268.94,257.76,42375102,11350012672.0,4.27,-1.19,-3.11,0.57
微软,MSFT,2023-02-10,256.49,258.06,259.05,255.622,25818489,6773758976.0,1.33,-0.2,-0.52,0.35
微软,MSFT,2023-02-13,262.6,266.28,269.56,262.11,44630921,12121227776.0,2.89,3.19,8.22,0.6
微软,MSFT,2023-02-14,267.63,267.13,269.93,264.24,37047924,10076634624.0,2.14,0.32,0.85,0.5
微软,MSFT,2023-02-15,263.96,264.96,266.37,261.82,28962163,7773069056.0,1.7,-0.81,-2.17,0.39
微软,MSFT,2023-02-16,259.66,257.79,262.38,257.54,29603616,7817824256.0,1.83,-2.71,-7.17,0.4
微软,MSFT,2023-02-17,255.03,253.7,255.73,251.64,30000055,7729640192.0,1.59,-1.59,-4.09,0.4
微软,MSFT,2023-02-21,250.12,248.31,251.13,247.23,28397444,7181757696.0,1.54,-2.12,-5.39,0.38
微软,MSFT,2023-02-22,249.73,247.15,249.98,245.98,22491056,5672899328.0,1.61,-0.47,-1.16,0.3
微软,MSFT,2023-02-23,251.2,250.41,252.48,246.12,29219095,7419051264.0,2.57,1.32,3.26,0.39
微软,MSFT,2023-02-24,245.6,244.86,246.64,243.74,24990905,6227486720.0,1.16,-2.22,-5.55,0.34
微软,MSFT,2023-02-27,248.1,245.8,248.46,245.03,21190042,5309573632.0,1.4,0.38,0.94,0.28
微软,MSFT,2023-02-28,244.71,245.06,247.13,244.37,22490950,5618924288.0,1.12,-0.3,-0.74,0.3
微软,MSFT,2023-03-01,246.4,241.91,246.57,241.43,27565259,6820078336.0,2.1,-1.29,-3.15,0.37
微软,MSFT,2023-03-02,242.19,246.75,247.04,241.25,24833646,6181807616.0,2.39,2.0,4.84,0.33
微软,MSFT,2023-03-03,247.83,250.93,251.26,247.03,30760136,7831512064.0,1.71,1.69,4.18,0.41
微软,MSFT,2023-03-06,252.065,252.51,255.76,251.62,24109849,6216412416.0,1.65,0.63,1.58,0.32
微软,MSFT,2023-03-07,251.94,249.79,253.33,249.03,21473179,5472728576.0,1.7,-1.08,-2.72,0.29
微软,MSFT,2023-03-08,249.68,249.34,250.182,246.45,17340217,4384197120.0,1.49,-0.18,-0.45,0.23
